user_id,country,signup_date,plan_type,primary_device,age,gender,is_active
42,NL,2022-03-10,Basic,Tablet,23,Other,1
43,US,2022-06-03,Basic,Tablet,17,F,0
44,IT,2022-12-09,Standard,Smart TV,77,M,1
45,KR,2019-01-22,Standard,Desktop,77,M,1
46,IT,2018-07-22,Standard,Mobile,34,Other,1
47,AU,2018-09-18,Basic,Mobile,77,Other,1
48,JP,2018-05-29,Basic,Smart TV,68,Other,0
49,FR,2020-01-11,Standard,Desktop,23,F,0
50,ES,2018-03-29,Standard,Mobile,40,Other,1
51,ES,2022-01-27,Standard,Desktop,44,Other,1
52,CA,2018-09-18,Premium,Desktop,36,M,1
53,AU,2021-05-11,Standard,Desktop,25,F,1
54,US,2021-05-13,Standard,Mobile,26,Other,1
55,IT,2022-05-11,Premium,Mobile,63,F,1
56,DE,2020-03-16,Standard,Tablet,54,Other,1
57,ES,2021-05-24,Standard,Desktop,78,F,1
58,JP,2022-04-01,Premium,Smart TV,76,F,1
59,CA,2018-07-06,Standard,Mobile,48,Other,1
60,DE,2019-07-04,Standard,Smart TV,56,F,0
61,JP,2019-05-06,Basic,Tablet,55,M,1
62,ES,2022-08-19,Premium,Desktop,51,F,1
63,NL,2021-05-09,Premium,Smart TV,33,Other,1
64,FR,2019-08-28,Premium,Tablet,57,M,1
65,CA,2022-06-23,Premium,Smart TV,31,Other,0
66,DE,2022-01-20,Premium,Smart TV,42,Other,1
67,KR,2022-06-06,Standard,Smart TV,79,F,1
68,NL,2019-05-19,Standard,Tablet,74,Other,1
69,IT,2019-12-01,Standard,Mobile,48,M,1
70,AU,2020-02-11,Standard,Mobile,24,M,1
71,DE,2022-07-21,Standard,Desktop,51,Other,1
72,NL,2021-03-08,Basic,Tablet,22,F,1
73,CA,2021-07-10,Premium,Mobile,76,F,1
74,ES,2020-03-03,Basic,Smart TV,39,M,1
75,US,2020-01-11,Basic,Mobile,51,M,1
76,AU,2021-01-28,Standard,Smart TV,28,Other,1
77,NL,2021-11-07,Basic,Mobile,23,M,1
78,ES,2018-08-17,Premium,Tablet,52,F,1
79,FR,2019-05-08,Basic,Tablet,61,M,1
80,US,2018-11-07,Premium,Tablet,44,M,1
81,NL,2022-07-09,Basic,Mobile,36,M,1
82,JP,2021-03-15,Standard,Desktop,31,M,1
83,NL,2019-05-20,Basic,Smart TV,74,Other,1
84,IT,2018-12-06,Basic,Tablet,29,M,0
85,KR,2019-05-05,Standard,Desktop,65,F,1
86,FR,2019-03-14,Basic,Mobile,68,Other,1
87,CA,2020-06-28,Basic,Desktop,64,M,1
88,DE,2021-01-13,Basic,Desktop,71,Other,1
89,ES,2019-12-03,Basic,Desktop,80,Other,1
90,CA,2020-03-05,Premium,Smart TV,63,M,1
91,UK,2021-12-11,Premium,Desktop,37,F,1
92,FR,2019-03-01,Standard,Tablet,67,F,1
93,DE,2019-05-25,Basic,Desktop,76,M,1
94,JP,2021-11-06,Basic,Mobile,73,Other,1
95,US,2022-06-27,Standard,Tablet,62,F,1
96,CA,2018-02-11,Standard,Desktop,70,M,1
97,DE,2020-06-14,Standard,Smart TV,50,F,0
98,CA,2019-06-17,Basic,Smart TV,44,Other,1
99,AU,2021-08-13,Premium,Smart TV,20,F,1
100,US,2020-01-17,Basic,Mobile,36,M,1
101,AU,2021-06-14,Basic,Tablet,26,Other,1
102,CA,2019-06-07,Basic,Tablet,34,F,1
103,IT,2019-07-25,Basic,Desktop,55,M,1
104,UK,2020-12-02,Basic,Mobile,22,Other,0
105,IT,2021-09-02,Standard,Desktop,70,M,1
106,US,2019-04-29,Basic,Mobile,24,M,1
107,IT,2019-07-06,Premium,Mobile,75,Other,1
108,ES,2022-04-08,Premium,Smart TV,35,Other,0
109,FR,2019-01-18,Basic,Tablet,37,F,1
110,US,2020-11-17,Premium,Mobile,66,M,0
111,US,2018-12-09,Standard,Smart TV,32,M,1
112,JP,2022-10-31,Standard,Tablet,75,M,1
113,IT,2020-07-20,Premium,Mobile,47,M,1
114,JP,2021-08-03,Basic,Mobile,64,M,1
115,DE,2018-01-02,Standard,Desktop,66,Other,1
116,NL,2021-01-13,Premium,Desktop,61,Other,1
117,NL,2021-03-28,Standard,Desktop,37,Other,1
118,CA,2022-10-24,Basic,Mobile,42,M,1
119,ES,2021-05-13,Standard,Mobile,68,F,0
120,DE,2020-02-09,Standard,Mobile,56,F,1
121,US,2019-02-11,Basic,Desktop,34,F,1
122,JP,2022-11-07,Premium,Smart TV,54,F,1
123,IT,2019-05-16,Basic,Smart TV,72,F,1
124,NL,2020-09-23,Standard,Desktop,63,M,1
125,IT,2020-08-06,Standard,Mobile,47,M,1
126,UK,2021-08-03,Standard,Tablet,22,F,1
127,NL,2020-08-10,Premium,Desktop,25,Other,0
128,ES,2019-08-26,Premium,Desktop,21,F,1
129,ES,2018-05-19,Standard,Smart TV,55,Other,1
130,US,2018-12-06,Basic,Smart TV,50,M,1
131,AU,2018-02-20,Basic,Tablet,19,F,0
132,ES,2020-04-06,Premium,Desktop,60,Other,1
133,DE,2019-10-31,Standard,Mobile,31,F,1
134,CA,2022-04-03,Standard,Mobile,80,M,1
135,NL,2018-11-11,Standard,Desktop,50,M,1
136,FR,2018-10-19,Basic,Desktop,51,F,1
137,US,2019-03-28,Basic,Tablet,17,M,1
138,NL,2019-02-03,Premium,Smart TV,69,M,1
139,AU,2020-05-24,Premium,Tablet,42,M,1
140,IT,2018-05-16,Basic,Tablet,77,M,0
141,CA,2019-03-25,Basic,Desktop,30,M,1
142,CA,2021-10-02,Standard,Tablet,76,F,1
143,AU,2021-03-27,Premium,Tablet,57,Other,1
144,KR,2018-11-15,Premium,Tablet,47,M,1
145,US,2022-07-27,Standard,Desktop,50,F,1
146,DE,2020-11-08,Standard,Desktop,22,Other,0
147,DE,2019-09-08,Basic,Smart TV,44,M,0
148,FR,2022-12-09,Standard,Smart TV,28,Other,1
149,AU,2021-01-15,Standard,Desktop,67,F,1
150,ES,2021-03-06,Standard,Mobile,47,M,1
151,CA,2021-06-30,Premium,Mobile,56,M,1
152,NL,2020-06-11,Standard,Smart TV,69,F,0
153,ES,2018-03-04,Standard,Mobile,55,M,1
154,CA,2020-09-23,Standard,Smart TV,67,F,1
155,FR,2022-10-06,Standard,Smart TV,37,F,0
156,JP,2018-11-23,Standard,Desktop,26,M,1
157,UK,2018-06-18,Premium,Mobile,35,Other,1
158,CA,2020-05-27,Basic,Smart TV,22,M,1
159,IT,2020-08-23,Basic,Smart TV,53,F,1
160,KR,2021-10-22,Premium,Tablet,27,M,1
161,DE,2018-12-05,Standard,Mobile,20,Other,1
162,US,2018-06-18,Premium,Mobile,40,M,1
163,CA,2020-03-11,Basic,Tablet,53,Other,0
164,AU,2022-09-10,Basic,Tablet,33,M,1
165,JP,2020-08-04,Standard,Smart TV,28,F,1
166,FR,2021-05-27,Premium,Tablet,20,F,1
167,ES,2022-10-12,Premium,Smart TV,76,F,1
168,AU,2020-01-05,Standard,Tablet,67,F,1
169,FR,2022-07-11,Standard,Tablet,42,M,1
170,IT,2020-08-02,Premium,Smart TV,20,M,0
171,JP,2018-05-01,Basic,Smart TV,29,F,1
172,IT,2018-09-16,Premium,Mobile,52,F,1
173,ES,2021-11-09,Premium,Smart TV,77,F,0
174,UK,2020-04-19,Premium,Tablet,42,F,1
175,US,2021-09-05,Standard,Smart TV,66,M,1
176,UK,2019-12-08,Basic,Mobile,48,F,1
177,CA,2019-01-18,Standard,Desktop,57,F,1
178,ES,2018-09-30,Premium,Desktop,56,Other,1
179,IT,2022-11-13,Basic,Smart TV,48,F,1
180,CA,2018-07-10,Standard,Smart TV,21,M,1
181,AU,2019-05-07,Premium,Desktop,51,M,1
182,IT,2022-01-16,Standard,Mobile,17,Other,1
183,ES,2020-01-09,Premium,Tablet,59,M,0
184,CA,2018-08-03,Premium,Smart TV,43,M,0
185,KR,2019-11-12,Premium,Tablet,66,Other,1
186,JP,2021-04-24,Premium,Smart TV,71,Other,1
187,US,2022-06-27,Standard,Tablet,74,M,1
188,ES,2019-08-06,Basic,Desktop,24,F,1
189,NL,2022-08-26,Standard,Smart TV,56,Other,1
190,CA,2019-04-02,Standard,Tablet,20,M,1
191,JP,2021-09-30,Standard,Desktop,49,M,1
192,FR,2020-12-22,Basic,Smart TV,73,M,1
193,US,2020-03-24,Standard,Mobile,25,F,1
194,AU,2021-01-01,Standard,Mobile,80,Other,1
195,KR,2022-06-16,Standard,Mobile,79,Other,0
196,AU,2019-03-14,Premium,Tablet,30,M,1
197,AU,2020-03-07,Premium,Tablet,38,Other,1
198,FR,2021-09-05,Basic,Desktop,26,F,0
199,FR,2021-08-17,Standard,Mobile,28,M,1
200,DE,2022-03-15,Basic,Tablet,48,F,1
201,NL,2018-11-28,Basic,Smart TV,62,M,1
202,DE,2022-04-16,Standard,Mobile,25,M,1
203,UK,2022-11-24,Basic,Smart TV,24,F,1
204,UK,2019-01-02,Standard,Tablet,31,Other,0
205,AU,2022-04-18,Standard,Mobile,77,Other,1
206,DE,2021-06-12,Basic,Tablet,27,F,1
207,NL,2018-12-28,Basic,Tablet,18,Other,1
208,UK,2022-07-06,Basic,Smart TV,34,F,1
209,AU,2018-11-25,Premium,Smart TV,77,Other,1
210,US,2019-12-21,Standard,Desktop,71,M,1
211,AU,2022-07-12,Standard,Smart TV,37,M,1
212,KR,2021-06-25,Standard,Mobile,45,Other,1
213,CA,2022-05-19,Premium,Desktop,65,F,1
214,ES,2021-08-08,Basic,Mobile,20,F,1
215,US,2019-01-21,Premium,Tablet,18,Other,1
216,KR,2020-02-02,Standard,Desktop,16,F,1
217,CA,2022-11-01,Basic,Smart TV,28,Other,1
218,AU,2020-12-02,Basic,Smart TV,76,F,0
219,AU,2021-02-07,Premium,Tablet,31,Other,1
220,US,2022-07-19,Premium,Tablet,47,F,1
221,NL,2021-01-04,Standard,Mobile,29,M,1
222,KR,2019-09-07,Basic,Tablet,64,M,0
223,ES,2019-07-29,Standard,Mobile,62,M,1
224,DE,2020-10-17,Premium,Tablet,68,M,1
225,DE,2018-02-23,Standard,Smart TV,27,M,1
226,JP,2020-12-11,Premium,Mobile,62,M,0
227,DE,2018-07-14,Standard,Tablet,31,M,0
228,FR,2021-03-26,Premium,Mobile,45,M,0
229,DE,2019-07-21,Premium,Mobile,54,Other,1
230,DE,2021-09-09,Basic,Desktop,21,F,1
231,NL,2022-12-04,Basic,Tablet,50,Other,1
232,IT,2018-04-17,Basic,Mobile,16,M,0
233,CA,2022-12-31,Basic,Desktop,62,F,1
234,UK,2021-01-14,Standard,Smart TV,47,M,1
235,IT,2019-11-16,Basic,Mobile,18,F,1
236,IT,2019-03-24,Basic,Smart TV,68,M,1
237,AU,2021-10-27,Standard,Smart TV,79,Other,1
238,US,2019-05-03,Standard,Smart TV,65,M,0
239,AU,2022-08-17,Standard,Tablet,33,F,0
240,NL,2021-04-24,Premium,Tablet,50,M,1
241,UK,2021-06-16,Premium,Desktop,48,Other,1
242,CA,2021-05-24,Basic,Mobile,67,Other,0
243,DE,2019-01-27,Premium,Smart TV,39,Other,0
244,UK,2021-04-03,Premium,Smart TV,32,Other,0
245,FR,2018-03-24,Basic,Mobile,25,Other,1
246,IT,2020-03-19,Basic,Tablet,30,Other,1
247,KR,2018-01-06,Basic,Mobile,17,F,1
248,ES,2018-08-08,Basic,Desktop,34,M,1
249,KR,2022-01-23,Basic,Tablet,57,F,1
250,KR,2020-02-15,Premium,Tablet,72,Other,1
251,KR,2019-02-17,Basic,Smart TV,65,F,1
252,KR,2019-01-21,Premium,Smart TV,78,F,1
253,NL,2019-07-15,Basic,Tablet,16,F,0
254,IT,2020-08-07,Basic,Mobile,74,Other,1
255,FR,2019-08-16,Standard,Mobile,52,M,1
256,DE,2019-08-04,Basic,Desktop,17,F,1
257,AU,2022-05-29,Basic,Desktop,60,F,1
258,FR,2021-08-12,Standard,Smart TV,51,F,1
259,DE,2020-03-10,Basic,Desktop,44,F,1
260,US,2018-10-01,Basic,Desktop,65,M,1
261,AU,2021-02-03,Premium,Smart TV,30,F,1
262,ES,2022-01-17,Premium,Tablet,28,F,1
263,KR,2022-11-01,Premium,Tablet,67,M,1
264,JP,2018-05-09,Basic,Smart TV,52,F,0
265,FR,2022-07-17,Premium,Smart TV,79,Other,1
266,IT,2018-01-07,Basic,Tablet,69,Other,1
267,US,2019-11-30,Standard,Smart TV,39,M,0
268,DE,2022-02-09,Premium,Desktop,48,Other,1
269,DE,2022-07-06,Premium,Smart TV,67,Other,1
270,JP,2022-09-21,Premium,Tablet,28,F,1
271,JP,2020-08-24,Basic,Smart TV,57,M,1
272,ES,2022-10-23,Standard,Desktop,46,Other,1
273,CA,2019-11-14,Basic,Desktop,18,Other,0
274,UK,2018-06-06,Premium,Smart TV,45,F,1
275,US,2022-11-10,Basic,Desktop,68,Other,1
276,UK,2022-02-21,Basic,Desktop,33,M,1
277,FR,2022-02-20,Basic,Tablet,28,M,0
278,US,2019-06-10,Premium,Desktop,31,F,0
279,JP,2021-08-09,Standard,Smart TV,27,F,1
280,JP,2019-04-30,Basic,Mobile,48,Other,1
281,KR,2021-01-04,Basic,Mobile,76,Other,1
282,AU,2019-07-22,Basic,Mobile,78,M,1
283,NL,2022-06-18,Standard,Mobile,27,Other,1
284,FR,2021-04-08,Premium,Tablet,16,F,1
285,ES,2021-11-27,Standard,Desktop,37,M,1
286,UK,2022-02-22,Premium,Mobile,51,M,1
287,IT,2018-12-19,Basic,Mobile,38,M,0
288,FR,2022-08-22,Basic,Smart TV,53,F,1
289,KR,2018-05-06,Standard,Smart TV,33,M,0
290,FR,2018-08-30,Standard,Tablet,71,M,1
291,UK,2021-11-09,Basic,Desktop,64,M,1
292,ES,2018-12-17,Basic,Smart TV,69,M,1
293,IT,2018-06-23,Basic,Mobile,35,F,0
294,NL,2018-08-11,Basic,Smart TV,50,Other,1
295,AU,2020-12-01,Premium,Tablet,73,M,0
296,JP,2022-08-25,Premium,Smart TV,73,F,1
297,JP,2018-12-19,Standard,Tablet,56,F,0
298,FR,2021-05-26,Premium,Mobile,41,F,0
299,NL,2019-08-29,Premium,Desktop,27,Other,1
300,IT,2018-08-25,Basic,Smart TV,30,Other,0
301,NL,2020-09-08,Premium,Smart TV,22,Other,1
302,AU,2019-01-04,Basic,Smart TV,46,M,1
303,JP,2020-11-07,Premium,Mobile,46,Other,0
304,UK,2021-02-05,Standard,Mobile,49,F,1
305,AU,2019-11-12,Basic,Smart TV,21,F,1
306,FR,2020-10-01,Basic,Smart TV,27,Other,1
307,JP,2018-10-30,Standard,Mobile,70,Other,0
308,AU,2021-07-22,Basic,Tablet,74,M,1
309,DE,2021-10-27,Standard,Mobile,20,M,0
310,US,2022-05-17,Premium,Mobile,19,M,1
311,IT,2019-10-23,Premium,Mobile,26,Other,1
312,CA,2019-01-25,Basic,Desktop,63,M,1
313,KR,2022-06-01,Premium,Mobile,35,F,1
314,NL,2019-10-03,Premium,Mobile,80,Other,1
315,DE,2019-08-17,Standard,Smart TV,26,Other,1
316,IT,2022-07-23,Premium,Desktop,52,F,0
317,UK,2020-12-05,Basic,Smart TV,52,Other,1
318,US,2021-06-27,Standard,Desktop,76,M,1
319,NL,2020-11-04,Standard,Mobile,21,Other,1
320,US,2018-04-11,Premium,Tablet,47,F,1
321,KR,2019-12-09,Standard,Mobile,62,Other,1
322,DE,2020-11-22,Premium,Smart TV,67,F,0
323,UK,2021-02-27,Basic,Desktop,35,F,1
324,FR,2020-11-13,Standard,Tablet,22,F,0
325,IT,2019-09-28,Premium,Desktop,21,Other,1
326,US,2022-01-02,Premium,Desktop,22,F,1
327,FR,2019-03-02,Standard,Desktop,61,M,1
328,JP,2022-05-01,Premium,Smart TV,32,M,1
329,DE,2018-05-05,Basic,Mobile,66,F,1
330,AU,2022-09-06,Basic,Mobile,49,Other,0
331,DE,2022-02-10,Premium,Smart TV,76,F,1
332,FR,2022-12-09,Premium,Smart TV,64,Other,0
333,FR,2022-04-14,Premium,Mobile,67,F,1
334,IT,2019-05-12,Premium,Mobile,34,Other,1
335,JP,2020-03-30,Premium,Tablet,37,Other,0
336,KR,2021-03-16,Premium,Tablet,68,F,1
337,US,2018-11-21,Basic,Desktop,32,F,1
338,AU,2022-01-19,Standard,Smart TV,29,F,1
339,DE,2022-05-13,Basic,Desktop,21,F,1
340,KR,2019-08-21,Standard,Smart TV,61,F,0
341,DE,2022-04-01,Basic,Smart TV,67,M,0
342,KR,2022-01-16,Standard,Tablet,39,F,1
343,US,2019-01-28,Premium,Mobile,76,F,1
344,NL,2019-09-23,Standard,Tablet,80,M,0
345,FR,2022-05-01,Premium,Mobile,63,M,1
346,AU,2021-02-12,Premium,Smart TV,51,F,0
347,IT,2022-01-25,Standard,Mobile,59,M,1
348,KR,2019-08-17,Premium,Mobile,53,M,1
349,FR,2019-02-24,Basic,Tablet,40,Other,1
350,JP,2019-06-12,Standard,Mobile,66,Other,1
351,IT,2019-03-31,Basic,Mobile,28,Other,1
352,CA,2021-05-13,Premium,Desktop,31,Other,0
353,JP,2018-04-09,Basic,Smart TV,27,Other,0
354,FR,2021-10-22,Standard,Smart TV,33,F,1
355,ES,2021-08-11,Basic,Mobile,68,M,1
356,UK,2022-01-21,Basic,Desktop,57,F,1
357,CA,2018-07-15,Premium,Desktop,17,M,1
358,FR,2019-01-14,Basic,Mobile,29,F,1
359,NL,2022-05-14,Basic,Smart TV,17,M,0
360,NL,2021-11-10,Standard,Desktop,79,F,1
361,DE,2022-02-02,Premium,Mobile,69,M,1
362,JP,2022-12-12,Premium,Smart TV,66,F,1
363,ES,2021-06-02,Basic,Mobile,25,F,1
364,UK,2021-05-21,Basic,Tablet,29,Other,0
365,FR,2019-08-22,Basic,Desktop,77,F,1
366,US,2022-09-13,Premium,Smart TV,68,M,1
367,IT,2018-12-16,Basic,Smart TV,25,M,1
368,DE,2020-07-13,Standard,Tablet,69,M,0
369,DE,2018-07-08,Basic,Tablet,32,Other,0
370,NL,2021-01-02,Premium,Mobile,62,Other,1
371,ES,2018-02-13,Basic,Desktop,66,F,1
372,US,2020-06-10,Premium,Mobile,30,Other,1
373,NL,2018-09-21,Basic,Mobile,40,M,1
374,FR,2020-12-01,Standard,Desktop,66,Other,1
375,US,2018-07-01,Standard,Smart TV,74,M,1
376,FR,2019-10-19,Basic,Smart TV,43,F,1
377,ES,2019-11-29,Basic,Desktop,39,F,1
378,UK,2021-03-17,Standard,Desktop,70,Other,1
379,IT,2021-08-12,Premium,Smart TV,49,F,1
380,US,2022-03-16,Basic,Smart TV,54,Other,0
381,AU,2018-01-11,Standard,Smart TV,59,F,0
382,CA,2019-05-02,Premium,Smart TV,68,M,1
383,FR,2019-03-11,Premium,Tablet,31,M,1
384,KR,2018-07-29,Standard,Desktop,18,Other,1
385,US,2022-08-11,Premium,Tablet,24,F,0
386,JP,2019-08-09,Basic,Mobile,73,F,1
387,IT,2021-04-08,Standard,Desktop,64,Other,1
388,AU,2019-08-31,Premium,Desktop,27,Other,0
389,IT,2019-08-29,Premium,Tablet,65,Other,1
390,FR,2021-03-10,Basic,Tablet,29,F,1
391,AU,2018-02-13,Standard,Smart TV,38,M,1
392,IT,2018-08-10,Basic,Tablet,34,F,0
393,JP,2020-04-07,Premium,Mobile,68,Other,0
394,US,2021-12-03,Premium,Desktop,35,F,1
395,UK,2021-08-04,Standard,Desktop,19,Other,0
396,IT,2020-06-24,Premium,Smart TV,55,Other,1
397,FR,2022-01-23,Premium,Smart TV,57,Other,0
398,JP,2021-09-18,Standard,Smart TV,33,Other,1
399,US,2021-02-23,Standard,Mobile,60,F,0
400,KR,2022-12-23,Basic,Smart TV,71,F,1
401,AU,2018-03-03,Basic,Desktop,61,Other,1
402,IT,2021-10-17,Standard,Tablet,27,Other,0
403,JP,2020-02-23,Standard,Tablet,68,Other,1
404,FR,2018-05-30,Basic,Desktop,70,M,1
405,KR,2021-10-08,Basic,Smart TV,56,Other,1
406,UK,2019-11-21,Standard,Smart TV,50,F,1
407,IT,2021-01-13,Basic,Tablet,50,Other,1
408,US,2018-03-25,Basic,Desktop,44,M,1
409,KR,2018-01-14,Premium,Desktop,66,F,1
410,US,2018-05-09,Basic,Desktop,80,M,0
411,UK,2018-06-03,Premium,Smart TV,58,M,0
412,UK,2018-04-09,Standard,Mobile,51,M,1
413,KR,2019-08-24,Premium,Mobile,57,M,1
414,NL,2020-07-17,Basic,Smart TV,72,Other,1
415,KR,2020-04-22,Basic,Mobile,63,M,1
416,DE,2021-07-29,Standard,Mobile,79,F,1
417,JP,2020-06-25,Standard,Desktop,36,M,1
418,CA,2022-01-02,Basic,Desktop,68,Other,1
419,JP,2018-09-24,Basic,Tablet,18,Other,1
420,UK,2022-06-24,Premium,Desktop,76,F,1
421,IT,2018-04-08,Premium,Mobile,49,M,0
422,AU,2020-03-24,Premium,Tablet,24,M,1
423,FR,2019-02-11,Standard,Smart TV,27,M,1
424,ES,2019-10-06,Premium,Smart TV,41,F,1
425,UK,2020-04-01,Standard,Mobile,75,M,1
426,IT,2019-02-24,Premium,Mobile,26,Other,1
427,US,2018-12-01,Standard,Mobile,44,F,1
428,AU,2019-05-03,Premium,Tablet,32,F,1
429,AU,2020-10-12,Premium,Tablet,64,M,1
430,FR,2019-01-25,Standard,Mobile,53,F,1
431,JP,2019-06-26,Basic,Smart TV,57,M,1
432,NL,2018-10-16,Standard,Mobile,28,F,1
433,DE,2019-07-19,Basic,Smart TV,73,M,1
434,DE,2021-10-28,Basic,Desktop,76,Other,1
435,IT,2018-08-10,Standard,Desktop,37,M,1
436,US,2018-06-03,Basic,Mobile,78,Other,1
437,IT,2021-01-03,Basic,Smart TV,49,Other,1
438,IT,2020-05-09,Premium,Tablet,78,Other,1
439,JP,2021-11-07,Standard,Smart TV,70,M,1
440,AU,2022-11-27,Basic,Mobile,38,Other,1
441,ES,2021-10-27,Standard,Mobile,59,M,1
442,CA,2021-03-18,Premium,Mobile,79,Other,1
443,AU,2021-04-20,Premium,Desktop,67,Other,1
444,CA,2018-09-01,Standard,Mobile,67,F,1
445,NL,2019-04-29,Premium,Smart TV,17,F,1
446,US,2022-04-15,Standard,Smart TV,26,Other,1
447,IT,2022-09-18,Basic,Smart TV,60,F,1
448,IT,2021-10-12,Basic,Desktop,62,M,0
449,ES,2022-05-11,Premium,Desktop,29,Other,1
450,NL,2019-06-27,Premium,Smart TV,25,Other,1
451,IT,2021-08-26,Basic,Smart TV,57,Other,1
452,CA,2020-03-25,Premium,Mobile,50,M,1
453,JP,2020-05-30,Premium,Tablet,18,M,1
454,US,2018-09-17,Standard,Mobile,45,Other,1
455,AU,2022-09-20,Standard,Tablet,80,F,0
456,IT,2021-08-20,Standard,Tablet,24,Other,1
457,DE,2018-06-22,Standard,Desktop,80,F,1
458,US,2022-07-18,Premium,Desktop,27,F,1
459,FR,2019-01-02,Premium,Desktop,73,F,1
460,FR,2020-09-05,Premium,Smart TV,19,Other,1
461,DE,2020-07-14,Standard,Mobile,24,Other,1
462,KR,2021-07-09,Standard,Desktop,79,F,1
463,IT,2021-01-14,Premium,Desktop,80,F,1
464,IT,2022-01-11,Basic,Tablet,41,F,1
465,US,2022-03-16,Premium,Tablet,16,F,1
466,IT,2021-08-10,Premium,Smart TV,63,M,1
467,DE,2021-11-25,Basic,Tablet,65,F,1
468,JP,2022-01-30,Standard,Desktop,20,M,1
469,UK,2021-10-10,Basic,Tablet,38,Other,1
470,ES,2019-12-03,Standard,Tablet,39,Other,1
471,CA,2020-03-16,Premium,Desktop,41,M,1
472,JP,2019-12-24,Standard,Smart TV,47,Other,1
473,KR,2018-09-30,Premium,Tablet,66,M,0
474,FR,2022-11-10,Premium,Mobile,59,F,1
475,DE,2018-12-03,Basic,Tablet,39,Other,0
476,ES,2022-04-09,Premium,Desktop,38,F,0
477,IT,2020-03-07,Premium,Smart TV,67,Other,1
478,FR,2019-03-30,Standard,Tablet,29,M,1
479,AU,2022-10-29,Basic,Desktop,63,F,1
480,KR,2018-02-22,Standard,Tablet,65,Other,1
481,US,2019-10-27,Premium,Tablet,78,Other,1
482,DE,2019-08-12,Basic,Mobile,40,F,0
483,JP,2021-07-10,Basic,Mobile,30,F,1
484,CA,2021-05-11,Basic,Mobile,41,Other,1
485,ES,2022-09-03,Premium,Smart TV,50,M,1
486,ES,2018-06-26,Basic,Desktop,55,M,1
487,DE,2019-10-29,Standard,Mobile,57,F,1
488,UK,2019-02-19,Basic,Smart TV,62,Other,1
489,FR,2022-12-20,Standard,Desktop,28,M,1
490,NL,2022-06-24,Standard,Tablet,21,M,1
491,DE,2021-06-25,Basic,Mobile,52,M,0
492,ES,2018-03-14,Basic,Desktop,65,Other,1
493,UK,2020-12-19,Premium,Desktop,23,Other,0
494,IT,2022-02-09,Standard,Mobile,50,F,1
495,FR,2018-09-23,Premium,Tablet,67,M,1
496,IT,2022-12-29,Standard,Desktop,69,M,1
497,JP,2019-10-27,Premium,Desktop,73,Other,1
498,DE,2020-06-24,Standard,Smart TV,33,F,1
499,ES,2021-12-17,Premium,Tablet,51,Other,1
500,ES,2021-07-18,Premium,Desktop,62,F,1
501,JP,2022-06-02,Standard,Smart TV,80,M,1
502,JP,2019-09-16,Basic,Mobile,70,F,0
503,IT,2018-02-22,Basic,Mobile,21,M,1
504,DE,2022-06-30,Standard,Smart TV,45,M,1
505,IT,2019-04-30,Premium,Mobile,57,F,0
506,FR,2018-05-22,Basic,Tablet,59,F,1
