view_id,user_id,title_id,start_time,watch_duration_min,completed,rewatch_flag,device,country
146,3330,689,2021-04-29 06:23:00,54,1,0,Tablet,IT
147,3870,643,2023-04-13 21:34:00,10,1,0,Desktop,US
148,1282,1032,2021-01-15 23:45:00,35,0,1,Desktop,NL
149,1,1076,2022-09-30 17:31:00,166,1,0,Tablet,ES
150,3856,1033,2023-08-27 17:09:00,126,0,0,Smart TV,JP
151,3810,1745,2022-05-20 07:03:00,155,1,0,Desktop,DE
152,3733,450,2023-04-04 20:52:00,136,1,0,Smart TV,NL
153,3583,1732,2022-02-27 13:01:00,150,1,0,Desktop,ES
154,4665,1022,2022-10-27 10:59:00,90,0,1,Mobile,NL
155,453,1406,2023-08-09 09:17:00,98,0,0,Mobile,JP
156,3635,1443,2020-10-14 19:25:00,45,1,0,Mobile,DE
157,670,36,2022-06-23 19:14:00,51,1,0,Smart TV,DE
158,3316,729,2020-10-29 14:33:00,45,0,0,Tablet,UK
159,2373,791,2021-05-01 00:21:00,164,1,0,Tablet,FR
160,643,1512,2021-12-20 13:31:00,35,1,0,Mobile,KR
161,3759,906,2021-10-16 06:37:00,146,0,0,Desktop,AU
162,1349,570,2023-07-29 10:35:00,28,0,0,Desktop,AU
163,281,1037,2023-10-06 16:19:00,6,1,0,Desktop,KR
164,2698,1458,2021-10-07 06:44:00,145,0,1,Mobile,ES
165,2987,401,2022-03-13 10:39:00,165,0,1,Desktop,UK
166,1163,896,2022-12-04 06:55:00,163,0,0,Tablet,DE
167,273,1576,2022-07-17 23:44:00,11,1,0,Tablet,CA
168,673,1634,2021-01-23 01:26:00,160,1,1,Desktop,ES
169,3674,373,2020-05-12 04:34:00,32,1,1,Tablet,UK
170,3180,1122,2021-05-11 17:28:00,12,0,0,Smart TV,US
171,3961,1772,2022-12-02 10:14:00,120,0,0,Smart TV,DE
172,915,592,2023-03-20 05:19:00,26,1,0,Smart TV,NL
173,3876,212,2022-09-08 07:00:00,114,1,0,Smart TV,ES
174,4640,73,2022-12-19 11:33:00,60,1,1,Mobile,IT
175,3343,1146,2021-06-18 21:58:00,133,0,0,Smart TV,KR
176,3483,1595,2022-11-22 03:27:00,118,1,0,Smart TV,KR
177,1630,1098,2022-03-19 13:21:00,175,0,0,Desktop,DE
178,377,1914,2022-03-28 15:30:00,100,0,0,Tablet,ES
179,4622,729,2022-07-08 07:47:00,88,1,0,Tablet,CA
180,824,1661,2020-01-07 10:47:00,168,1,1,Desktop,JP
181,3944,1844,2023-09-11 04:22:00,8,1,0,Tablet,US
182,321,367,2021-11-03 22:52:00,141,0,0,Mobile,KR
183,212,1287,2023-01-12 10:51:00,88,1,0,Desktop,KR
184,1240,433,2021-12-02 15:32:00,79,0,0,Tablet,FR
185,3872,1289,2020-11-01 01:33:00,10,0,0,Smart TV,KR
186,2361,1928,2020-08-21 00:50:00,78,1,0,Mobile,KR
187,3030,122,2022-08-14 23:59:00,82,0,0,Smart TV,ES
188,958,832,2022-02-15 00:33:00,176,1,0,Mobile,DE
189,3508,1570,2023-10-25 03:05:00,92,0,0,Tablet,US
190,3133,1985,2022-06-13 02:14:00,170,0,1,Tablet,DE
191,137,1444,2021-07-18 14:42:00,172,0,0,Tablet,US
192,369,87,2020-03-25 09:21:00,146,1,1,Tablet,DE
193,278,1944,2023-08-05 17:37:00,40,0,0,Smart TV,US
194,3913,48,2022-04-11 18:39:00,179,1,0,Mobile,DE
195,3150,636,2023-05-28 09:39:00,66,1,0,Tablet,FR
196,3581,1330,2021-12-14 23:44:00,171,1,0,Mobile,JP
197,1846,1615,2023-09-04 12:13:00,148,1,0,Smart TV,NL
198,3306,600,2022-09-24 04:55:00,47,1,0,Tablet,IT
199,2973,667,2022-11-10 23:06:00,129,0,0,Mobile,NL
200,4293,1495,2021-03-28 07:22:00,21,0,0,Tablet,IT
201,1508,534,2021-07-11 20:40:00,161,1,0,Desktop,IT
202,3289,1439,2021-05-22 21:38:00,14,1,0,Mobile,ES
203,286,533,2022-01-01 06:37:00,145,0,0,Mobile,UK
204,2239,1437,2023-01-31 17:51:00,111,0,1,Desktop,CA
205,1358,1725,2021-10-09 03:19:00,7,0,0,Desktop,AU
206,897,1513,2022-06-15 01:36:00,153,0,1,Desktop,DE
207,1727,151,2022-10-16 00:37:00,133,0,0,Mobile,KR
208,3261,1986,2022-04-12 17:58:00,148,0,0,Mobile,AU
209,1826,1830,2020-02-06 07:54:00,165,0,1,Tablet,KR
210,3111,1235,2020-08-10 21:11:00,145,1,0,Mobile,ES
211,2989,112,2020-07-26 12:16:00,88,1,0,Tablet,ES
212,3350,789,2020-11-10 11:28:00,64,0,1,Mobile,DE
213,1269,1774,2021-12-16 07:26:00,32,1,1,Smart TV,NL
214,3616,825,2023-04-30 16:28:00,106,1,0,Smart TV,FR
215,1326,1612,2023-04-11 11:59:00,132,0,0,Tablet,DE
216,4001,574,2022-01-15 01:35:00,20,0,0,Desktop,IT
217,981,955,2021-04-19 20:14:00,27,0,0,Tablet,UK
218,4064,193,2022-05-18 01:57:00,76,1,0,Smart TV,DE
219,3135,1921,2020-06-17 08:53:00,69,1,0,Desktop,US
220,718,1837,2022-05-04 10:02:00,72,0,0,Tablet,ES
221,859,758,2021-01-14 13:16:00,77,0,0,Tablet,UK
222,4098,1516,2023-07-20 04:38:00,111,0,0,Tablet,NL
223,3024,527,2020-06-25 21:43:00,151,1,0,Mobile,FR
224,1796,1909,2022-08-06 17:02:00,70,1,0,Desktop,JP
225,3511,277,2020-02-12 19:12:00,145,0,0,Smart TV,IT
226,3640,505,2023-05-01 12:59:00,88,0,0,Smart TV,US
227,2560,1842,2020-12-21 15:42:00,111,1,0,Mobile,CA
228,3981,577,2023-09-13 21:07:00,84,1,0,Desktop,FR
229,2143,1731,2021-07-07 00:50:00,48,1,0,Desktop,FR
230,1016,390,2021-12-22 06:18:00,44,0,0,Tablet,KR
231,2894,700,2022-02-28 02:35:00,55,0,0,Smart TV,CA
232,3525,1475,2020-11-08 02:13:00,141,1,0,Tablet,IT
233,1007,1768,2023-11-09 11:22:00,23,1,0,Mobile,ES
234,4716,1367,2021-12-21 08:59:00,38,0,1,Tablet,DE
235,1159,1775,2022-09-12 10:00:00,99,1,0,Desktop,US
236,4434,1031,2023-07-31 01:32:00,75,0,0,Smart TV,IT
237,109,899,2020-11-16 15:04:00,43,0,1,Desktop,FR
238,1542,421,2021-09-20 01:44:00,174,1,0,Smart TV,KR
239,1736,1001,2022-12-20 03:46:00,68,0,0,Smart TV,KR
240,3332,963,2020-11-20 14:15:00,67,0,1,Smart TV,JP
241,3355,257,2022-07-08 14:58:00,114,1,0,Desktop,NL
242,2388,890,2023-06-12 10:58:00,134,0,0,Mobile,ES
243,4757,1300,2021-08-22 12:34:00,119,0,1,Desktop,JP
244,2411,1196,2023-11-05 04:36:00,79,0,0,Tablet,FR
245,4974,1251,2021-02-01 02:12:00,111,0,1,Desktop,UK
246,2840,1305,2022-10-10 05:55:00,108,0,1,Desktop,CA
247,4134,534,2023-12-23 19:56:00,6,1,1,Tablet,ES
248,1884,829,2023-08-22 13:57:00,117,0,0,Smart TV,CA
249,1530,66,2021-01-26 02:25:00,36,0,0,Smart TV,DE
250,880,991,2022-07-10 19:00:00,92,0,0,Smart TV,IT
251,2478,85,2021-02-28 17:43:00,141,0,1,Smart TV,ES
252,1552,409,2020-07-27 20:20:00,175,0,0,Mobile,KR
253,4196,33,2020-08-03 12:25:00,76,1,0,Mobile,NL
254,1291,512,2022-05-17 04:34:00,19,1,0,Mobile,JP
255,4891,455,2022-10-22 16:53:00,162,1,0,Tablet,US
256,1589,148,2020-08-13 11:17:00,176,1,0,Smart TV,ES
257,4616,992,2023-01-19 03:23:00,129,0,0,Smart TV,DE
258,2131,1658,2020-06-26 10:37:00,26,0,0,Mobile,ES
259,3094,1587,2022-05-23 00:32:00,112,0,0,Smart TV,UK
260,1931,1466,2022-02-17 11:03:00,79,1,0,Desktop,CA
261,311,1947,2020-10-16 13:58:00,172,1,0,Smart TV,IT
262,1176,637,2022-10-09 17:40:00,159,1,1,Smart TV,DE
263,1185,1911,2021-11-20 03:40:00,145,1,0,Smart TV,ES
264,3492,1970,2023-08-06 03:50:00,67,0,1,Tablet,UK
265,354,1957,2022-05-01 04:04:00,20,1,1,Tablet,FR
266,272,159,2021-10-23 15:54:00,162,1,0,Desktop,ES
267,145,809,2020-10-05 22:39:00,139,1,0,Mobile,US
268,305,1156,2023-06-06 15:41:00,95,1,0,Smart TV,AU
269,3463,1088,2022-03-21 13:59:00,100,1,0,Mobile,JP
270,4370,440,2022-05-07 17:05:00,105,0,0,Smart TV,JP
271,932,596,2020-03-26 14:14:00,125,1,0,Smart TV,KR
272,442,1077,2023-11-05 14:05:00,76,0,0,Smart TV,CA
273,4740,37,2021-02-03 19:00:00,159,1,1,Smart TV,IT
274,215,1871,2020-04-16 10:54:00,175,1,0,Desktop,US
275,1451,815,2020-03-22 15:00:00,166,1,0,Smart TV,NL
276,2331,1009,2021-08-07 16:52:00,88,1,0,Desktop,US
277,4288,1467,2022-12-30 16:39:00,48,0,0,Mobile,NL
278,1893,345,2022-08-03 07:34:00,35,1,0,Tablet,AU
279,1427,313,2023-05-05 06:11:00,39,0,0,Desktop,NL
280,1431,1975,2021-11-02 08:02:00,33,1,0,Tablet,UK
281,4856,1374,2023-10-16 07:35:00,180,0,0,Tablet,DE
282,4009,1579,2022-01-23 09:15:00,169,1,0,Mobile,US
283,4145,1100,2022-04-02 09:23:00,158,1,1,Tablet,CA
284,3724,1119,2020-04-16 01:30:00,166,1,1,Smart TV,DE
285,2209,1544,2022-05-27 06:25:00,110,1,0,Smart TV,AU
286,3917,1725,2021-12-18 11:40:00,171,1,0,Tablet,US
287,140,574,2021-11-19 17:15:00,143,0,0,Desktop,IT
288,2957,80,2020-01-28 23:31:00,123,0,1,Mobile,KR
289,4761,112,2021-01-20 03:28:00,42,1,0,Mobile,KR
290,638,1626,2021-04-09 11:37:00,133,1,0,Mobile,JP
291,2317,396,2021-03-05 07:07:00,100,0,0,Desktop,UK
292,4757,862,2021-06-25 00:07:00,17,1,0,Mobile,JP
293,2560,831,2020-03-04 02:56:00,163,1,0,Smart TV,CA
294,1711,670,2021-01-15 00:54:00,116,0,0,Smart TV,US
295,1427,1658,2022-02-23 01:43:00,150,0,1,Smart TV,NL
296,633,795,2021-07-19 04:48:00,103,1,0,Desktop,JP
297,1858,474,2020-08-27 12:06:00,79,1,0,Mobile,US
298,4504,1953,2020-11-15 06:06:00,6,0,0,Mobile,UK
299,3895,176,2023-11-16 14:07:00,159,1,0,Tablet,ES
300,2593,953,2021-05-27 01:21:00,33,1,0,Tablet,JP
301,237,1135,2020-05-30 19:57:00,7,1,0,Mobile,AU
302,2726,846,2022-06-22 07:40:00,96,0,0,Smart TV,US
303,3418,463,2022-01-17 19:23:00,27,0,0,Desktop,NL
304,3541,489,2022-01-10 05:16:00,33,0,0,Smart TV,CA
305,231,308,2023-12-13 05:51:00,139,1,0,Desktop,NL
306,3924,201,2020-04-21 12:26:00,88,0,0,Desktop,ES
307,178,346,2021-08-26 18:10:00,54,0,0,Tablet,ES
308,3652,902,2022-06-27 09:05:00,175,0,0,Tablet,NL
309,4752,90,2022-01-22 15:05:00,132,0,0,Tablet,FR
310,1570,310,2020-09-20 22:31:00,179,1,0,Desktop,DE
311,2850,335,2022-03-17 03:20:00,139,0,1,Desktop,KR
312,4282,1279,2023-12-11 16:38:00,34,0,1,Desktop,US
313,4538,1766,2021-05-25 03:30:00,32,1,0,Tablet,ES
314,929,192,2020-05-16 08:10:00,72,1,0,Mobile,AU
315,1288,600,2023-12-08 16:19:00,98,1,0,Tablet,UK
316,3412,901,2021-03-20 02:58:00,177,0,0,Smart TV,CA
317,3635,153,2022-08-20 22:16:00,28,0,0,Mobile,DE
318,3358,824,2023-05-07 10:19:00,86,1,0,Mobile,UK
319,4447,721,2022-09-01 23:52:00,6,0,0,Smart TV,KR
320,2083,16,2020-09-07 20:50:00,28,1,0,Desktop,KR
321,3304,1809,2020-07-01 14:01:00,104,1,0,Mobile,DE
322,1690,1332,2020-03-16 03:06:00,177,1,0,Smart TV,AU
323,3703,437,2022-12-26 07:54:00,28,1,0,Mobile,NL
324,3728,333,2020-03-01 07:20:00,125,1,0,Desktop,DE
325,2930,1956,2022-05-14 08:00:00,12,0,0,Mobile,DE
326,4668,131,2023-09-25 20:59:00,86,1,0,Tablet,IT
327,1064,1600,2022-03-27 23:03:00,117,0,0,Smart TV,UK
328,2384,154,2020-09-08 13:55:00,76,1,1,Smart TV,ES
329,2222,1562,2023-11-11 05:19:00,174,1,0,Mobile,KR
330,1001,520,2022-08-26 10:56:00,79,0,0,Desktop,FR
331,3576,296,2021-07-16 16:09:00,37,1,0,Smart TV,JP
332,512,1320,2022-05-21 09:08:00,23,0,0,Mobile,AU
333,3463,1886,2022-11-12 08:25:00,19,0,0,Smart TV,JP
334,4248,1653,2023-05-08 11:06:00,165,1,0,Tablet,FR
335,1220,488,2021-07-25 22:27:00,105,1,0,Tablet,US
336,1204,133,2022-10-11 09:27:00,70,0,0,Tablet,AU
337,1543,1560,2021-04-23 03:27:00,74,1,0,Tablet,DE
338,79,881,2020-03-10 10:41:00,78,1,0,Mobile,FR
339,788,1416,2021-03-12 15:59:00,172,1,0,Mobile,KR
340,1834,1315,2023-10-12 09:41:00,113,0,0,Smart TV,KR
341,862,1551,2023-11-01 00:31:00,144,1,0,Mobile,UK
342,3962,1097,2022-05-27 18:53:00,180,1,1,Tablet,KR
343,3710,1532,2022-02-08 01:07:00,147,0,0,Smart TV,DE
344,113,562,2020-08-06 22:43:00,87,1,0,Tablet,IT
345,2323,1001,2021-09-19 15:15:00,65,0,1,Tablet,IT
346,1826,761,2023-09-02 20:54:00,160,0,1,Desktop,KR
347,2037,885,2023-05-19 15:02:00,29,1,0,Desktop,ES
348,4113,1581,2022-01-07 04:53:00,97,0,0,Smart TV,AU
349,627,1364,2023-12-09 15:51:00,86,1,0,Mobile,CA
350,2082,9,2023-02-28 06:30:00,9,0,0,Mobile,JP
351,947,1062,2021-11-01 19:25:00,147,0,0,Desktop,IT
352,2201,1320,2020-02-06 23:39:00,96,1,0,Smart TV,KR
353,4626,44,2021-11-01 23:50:00,173,0,0,Tablet,FR
354,267,1227,2021-12-18 15:58:00,151,1,0,Smart TV,US
355,4114,139,2022-12-22 08:28:00,44,0,0,Desktop,CA
356,3263,1035,2020-04-11 12:13:00,160,1,0,Smart TV,US
357,2360,158,2022-05-22 20:06:00,28,1,0,Tablet,FR
358,2207,73,2023-11-14 23:46:00,167,1,0,Desktop,NL
359,1455,1515,2022-09-26 16:41:00,161,1,0,Mobile,ES
360,4183,1092,2023-09-05 01:25:00,133,1,0,Smart TV,FR
361,730,1561,2020-09-08 04:42:00,35,0,0,Desktop,CA
362,4773,681,2023-05-19 04:56:00,146,1,0,Smart TV,US
363,1313,430,2021-05-09 02:11:00,89,0,0,Desktop,IT
364,3982,1021,2020-10-07 11:00:00,59,1,0,Tablet,JP
365,3514,253,2022-05-19 05:44:00,122,1,0,Mobile,DE
366,2140,189,2021-01-23 08:50:00,49,1,0,Desktop,DE
367,4052,387,2020-10-21 06:20:00,171,1,0,Desktop,ES
368,1905,1433,2022-09-30 08:11:00,30,1,0,Tablet,AU
369,1238,25,2023-06-01 08:11:00,13,1,0,Desktop,KR
370,4866,489,2022-09-12 08:07:00,99,0,0,Desktop,DE
371,537,1265,2023-12-22 19:18:00,41,0,1,Tablet,IT
372,413,1761,2023-09-18 10:36:00,39,0,0,Tablet,KR
373,1854,1951,2023-08-05 00:55:00,152,1,0,Tablet,DE
374,2941,1412,2023-11-01 17:31:00,131,1,0,Smart TV,UK
375,3239,605,2023-10-07 05:31:00,58,0,0,Desktop,NL
376,4793,714,2022-07-18 04:14:00,138,1,0,Mobile,AU
377,3460,1968,2023-10-26 02:08:00,154,1,0,Smart TV,FR
378,697,491,2021-10-18 03:06:00,173,1,0,Mobile,UK
379,1961,1343,2021-02-28 01:06:00,12,1,0,Desktop,DE
380,2689,385,2022-02-02 21:02:00,50,1,1,Tablet,US
381,3318,1996,2023-03-27 08:33:00,78,1,0,Mobile,KR
382,1397,433,2020-10-12 23:08:00,51,0,0,Smart TV,FR
383,1394,1857,2020-03-09 17:30:00,68,0,0,Tablet,DE
384,3888,122,2023-03-24 09:13:00,154,0,0,Mobile,US
385,2037,984,2020-01-25 16:22:00,148,1,0,Desktop,ES
386,4254,421,2022-09-09 19:10:00,36,1,0,Smart TV,CA
387,915,869,2023-02-08 05:08:00,101,1,1,Mobile,NL
388,4226,14,2023-06-18 19:13:00,119,0,0,Mobile,FR
389,3051,219,2023-07-03 07:04:00,119,0,0,Tablet,IT
390,2212,1464,2023-05-10 17:35:00,68,1,1,Mobile,JP
391,1617,910,2023-07-30 08:41:00,117,0,0,Smart TV,ES
392,4455,253,2020-07-15 07:50:00,58,0,0,Desktop,KR
393,502,1375,2021-05-27 18:17:00,106,1,0,Smart TV,JP
394,2509,1726,2022-01-20 10:19:00,12,1,0,Desktop,JP
395,4000,1808,2020-02-01 00:20:00,64,0,0,Tablet,JP
396,2638,1332,2022-11-05 16:08:00,57,0,1,Tablet,FR
397,4521,1482,2020-07-26 21:07:00,135,1,0,Mobile,CA
398,4550,1662,2021-01-01 18:41:00,64,0,1,Tablet,ES
399,475,1651,2020-10-06 23:58:00,141,1,1,Tablet,DE
400,4032,986,2023-04-26 17:48:00,47,0,1,Tablet,KR
401,4223,996,2021-12-26 07:29:00,22,0,0,Tablet,NL
402,3492,1578,2021-08-26 03:20:00,65,1,0,Smart TV,UK
403,273,914,2020-02-03 12:26:00,111,1,0,Desktop,CA
404,499,1321,2023-09-18 22:25:00,59,1,0,Smart TV,ES
